file,reason
100.png,"No matching item by name/description"
142.png,"No matching item by name/description"
"2 5LT CLAMATO.png","No matching item by name/description"
353.png,"No matching item by name/description"
98.png,"No matching item by name/description"
"ACE CACAHUATE TO.png","No matching item by name/description"
"ACE OLIVA INES.png","No matching item by name/description"
"ACEITE  SABROSANO.png","No matching item by name/description"
"ACEITE AJON LT.png","No matching item by name/description"
"ACEITE AVE 10LT.png","No matching item by name/description"
"ACEITE AVE B.png","No matching item by name/description"
"ACEITE BIDON.png","No matching item by name/description"
"ACEITE C.png","No matching item by name/description"
"ACEITE CANOIL CJ.png","No matching item by name/description"
"ACEITE CANOIL LT.png","No matching item by name/description"
"ACEITE CARBONELL .png","No matching item by name/description"
"ACEITE COCO INES.png","No matching item by name/description"
"ACEITE COCO.png","No matching item by name/description"
"ACEITE CRIST CJ.png","No matching item by name/description"
"ACEITE CRISTAL  20LT.png","No matching item by name/description"
"ACEITE GAL.png","No matching item by name/description"
"ACEITE GLORIA.png","No matching item by name/description"
"ACEITE OLI 750ML.png","No matching item by name/description"
"ACEITE PAM CANOL.png","No matching item by name/description"
"ACEITE PAM MANTE.png","No matching item by name/description"
"ACEITE SABROSANO 315ML.png","No matching item by name/description"
"ACEITE SOYA BID.png","No matching item by name/description"
"ACEITUNA C_QUESO.png","No matching item by name/description"
"ACEITUNA NEGRA S.png","No matching item by name/description"
"ACEITUNA NEGRA.png","No matching item by name/description"
"ACEITUNA S_HUESO.png","No matching item by name/description"
"ACHIOTE 1KG.png","No matching item by name/description"
"ACIDO ASCORBICO.png","No matching item by name/description"
"ADEREZO ITALIANO.png","No matching item by name/description"
AGAR-AGAR.png,"No matching item by name/description"
"AGITADOR MADERA.png","No matching item by name/description"
"AGUA CIEL CJ.png","No matching item by name/description"
"AGUA CIEL.png","No matching item by name/description"
AGUACATE.png,"No matching item by name/description"
"AHUMADA SAL.png","No matching item by name/description"
"AJO B.png","No matching item by name/description"
"AJO GRANULADO.png","No matching item by name/description"
"AJO HOJUELA.png","No matching item by name/description"
"AJO NEGRO BOLSA.png","No matching item by name/description"
"AJO NEGRO.png","No matching item by name/description"
"AJO PICADO.png","No matching item by name/description"
"AJO POLV CATA.png","No matching item by name/description"
"AJO SHALLOT.png","No matching item by name/description"
AJO.png,"No matching item by name/description"
"AJONJOLI M.png","No matching item by name/description"
"ALBAHACA MORADA.png","No matching item by name/description"
ALCAHOFA.png,"No matching item by name/description"
"ALCAPARRA 120GR.png","No matching item by name/description"
"ALCOHOL SOLI 250.png","No matching item by name/description"
"ALDILLA CERDO.png","No matching item by name/description"
"ALL BRAN CEREAL.png","No matching item by name/description"
"ALMENDRA FIL.png","No matching item by name/description"
"ALMENDRA MOL.png","No matching item by name/description"
"ALUBIA PQ.png","No matching item by name/description"
AMPER.png,"No matching item by name/description"
"AMSTEL 355ML.png","No matching item by name/description"
"ANIMALITO GALLE.png","No matching item by name/description"
"ANÍS VERDE.png","No matching item by name/description"
"APIO L.png","No matching item by name/description"
"ARANDANO CON CHILE.png","No matching item by name/description"
"ARBOL TOS 100.png","No matching item by name/description"
"AROMA GLADE.png","No matching item by name/description"
"ARROZ MOLIDO.png","No matching item by name/description"
"ARROZ PRECOCIDO.png","No matching item by name/description"
"ARROZ PROGRESO 500GR.png","No matching item by name/description"
"ARROZ PROGRESO.png","No matching item by name/description"
"ARROZ VDE VALLE.png","No matching item by name/description"
"ATE TEJ.png","No matching item by name/description"
"ATUN ACEITE.png","No matching item by name/description"
"ATUN AGUA.png","No matching item by name/description"
"ATUN NAIR 130GR.png","No matching item by name/description"
"AVELLANA PEL.png","No matching item by name/description"
"AVENA MOLIDA.png","No matching item by name/description"
"AXION LIQ.png","No matching item by name/description"
"AZUCAR ISOMALT.png","No matching item by name/description"
"AZUCAR MASCABADO 2K.png","No matching item by name/description"
"AZUCAR MASCABADO 500GR.png","No matching item by name/description"
"AZUCAR MASCABADO SOBRES.png","No matching item by name/description"
"AZUCAR ZULKA.png","No matching item by name/description"
AZUCAR.png,"No matching item by name/description"
BAGUETTE.png,"No matching item by name/description"
"BARRITAS FRESA.png","No matching item by name/description"
"BENSON MENTOLADO.png","No matching item by name/description"
"BERRY BLUE.png","No matching item by name/description"
"BETABEL MJO CH.png","No matching item by name/description"
"BETABEL T.png","No matching item by name/description"
BIO4.png,"No matching item by name/description"
BIZNAGA.png,"No matching item by name/description"
"BLONDA BCA 12.png","No matching item by name/description"
"BLONDA BCA 14 .png","No matching item by name/description"
"BLONDA BCA 16.png","No matching item by name/description"
"BLUE BERRY BOTE.png","No matching item by name/description"
"BOHEMIA CLARA.png","No matching item by name/description"
"BOHEMIA OBSCURA.png","No matching item by name/description"
"BOING GUAYABA .png","No matching item by name/description"
"BOLILLO MINI PZ.png","No matching item by name/description"
"BOLILLO MINI S.png","No matching item by name/description"
"BOLILLO SALADO.png","No matching item by name/description"
"BOMBON CHOCO.png","No matching item by name/description"
"BOMBON GDE.png","No matching item by name/description"
"BOMBON MINI.png","No matching item by name/description"
"BOTA DE HULE.png","No matching item by name/description"
"BOTE 1LT.png","No matching item by name/description"
"BOTE 1_4LT.png","No matching item by name/description"
"BOTE 2LT.png","No matching item by name/description"
"BOTE DE 1_2LT.png","No matching item by name/description"
"BOTELLA PET 12L .png","No matching item by name/description"
"BOTELLA PET 1LT.png","No matching item by name/description"
"BROCO FLORE 454G.png","No matching item by name/description"
"BROCOLI MR LUCKY.png","No matching item by name/description"
"BROCOLI TALLO.png","No matching item by name/description"
"BROWNIE HARINA.png","No matching item by name/description"
"C RABO CEBOLLA.png","No matching item by name/description"
"CACAHUATE COMAL.png","No matching item by name/description"
"CACAHUATE GRANIL.png","No matching item by name/description"
"CACAHUATE JAPONE.png","No matching item by name/description"
"CACAHUATE TOSTAD.png","No matching item by name/description"
"CACAHUATE TRITURADO.png","No matching item by name/description"
CACAHUATE.png,"No matching item by name/description"
"CACAO MOLIDO.png","No matching item by name/description"
"CAFE DECAF.png","No matching item by name/description"
"CAFE PUNTA CIELO.png","No matching item by name/description"
"CAJA BERENJENA.png","No matching item by name/description"
"CAJA PLAST 54LT.png","No matching item by name/description"
"CAJA PLAST 68LT.png","No matching item by name/description"
"CAJETA DE MEMBRI.png","No matching item by name/description"
"CAJETA FRASCO.png","No matching item by name/description"
"CAJETA Q.png","No matching item by name/description"
"CALABAZA DE CAST.png","No matching item by name/description"
"CALABAZA ESTRELLA.png","No matching item by name/description"
"CALABAZA ITAL.png","No matching item by name/description"
"CALAHUA COCONUT.png","No matching item by name/description"
"CALAHUA LA ORI.png","No matching item by name/description"
"CALDO RES.png","No matching item by name/description"
"CALENDULA FLOR.png","No matching item by name/description"
"CAMARON MOLIDO.png","No matching item by name/description"
"CAMARON SECO MED.png","No matching item by name/description"
"CAMB CEBOLLA .png","No matching item by name/description"
"CAMB CEBOLLA.png","No matching item by name/description"
"CANELA FCO.png","No matching item by name/description"
"CARDAMOMO KG.png","No matching item by name/description"
"CARDAMOMO MOL.png","No matching item by name/description"
"CARLOS V SEMI.png","No matching item by name/description"
"CARLOS V.png","No matching item by name/description"
"CARNE CERD.png","No matching item by name/description"
"CARNE DESEBRAR.png","No matching item by name/description"
"CARNE MOLIDA CER .png","No matching item by name/description"
"CART 7 CHAROLA.png","No matching item by name/description"
"CARTA BCA CAGUA.png","No matching item by name/description"
CATCHOW.png,"No matching item by name/description"
"CATSUP BOLSA.png","No matching item by name/description"
"CATSUP GAL.png","No matching item by name/description"
"CATSUP HEINZ POR.png","No matching item by name/description"
"CATULES CANELS.png","No matching item by name/description"
"CEBADA 500GR.png","No matching item by name/description"
"CEBADA PO.png","No matching item by name/description"
"CEBOLLA AMARILLA.png","No matching item by name/description"
"CEBOLLA BCA.png","No matching item by name/description"
"CEBOLLA CAM T .png","No matching item by name/description"
"CEBOLLA MOR.png","No matching item by name/description"
"CEPILLO ALAMBRE.png","No matching item by name/description"
"CEPILLO DENTAL.png","No matching item by name/description"
"CERE ESTELLITA A.png","No matching item by name/description"
"CEREAL 200GR.png","No matching item by name/description"
"CEREAL AROS AVEN.png","No matching item by name/description"
"CEREAL CHOCORROZ.png","No matching item by name/description"
"CEREAL EXTRA.png","No matching item by name/description"
"CEREAL FRUTI.png","No matching item by name/description"
"CEREAL NESQUIK.png","No matching item by name/description"
"CEREAL QUAKER.png","No matching item by name/description"
"CERO CORONA.png","No matching item by name/description"
"CERVEZA INDIO CH.png","No matching item by name/description"
"CH JALAPEÑO ROJO.png","No matching item by name/description"
"CH YAHUALICA SIN.png","No matching item by name/description"
"CHABACANO DESHI.png","No matching item by name/description"
"CHAMPI PORT.png","No matching item by name/description"
"CHAMPIÑON CJA.png","No matching item by name/description"
"CHAMPIÑON CREMI CAR.png","No matching item by name/description"
"CHAMPIÑON LATA.png","No matching item by name/description"
"CHAMPIÑON P.png","No matching item by name/description"
"CHAMPIÑON REB.png","No matching item by name/description"
"CHAROLA REC 12.png","No matching item by name/description"
"CHAYOTE PAΡΑ.png","No matching item by name/description"
"CHERRY COLORES.png","No matching item by name/description"
"CHICHARO C.png","No matching item by name/description"
"CHICHARO SECO.png","No matching item by name/description"
"CHICHARRON BOTA.png","No matching item by name/description"
"CHICHARRON DURO.png","No matching item by name/description"
